address,type,balance
D6xiMfjQNdcGe9aVXCCUk2PyzWCxfnZww9,pubkeyhash,56014436303894770
D62u6u8D2ndTbzYCE4M5HuNYJ9qojqFXTY,pubkeyhash,55896475099637276
DHFu8WjwXzHVy9pknMrxdQpePFir2FmiuG,pubkeyhash,51732020857809557
DJtqonMkvsVr8rVr4Pdf5zYfZrnaLSdnwi,pubkeyhash,50946976378965713
DBpNLLEj13LWr14wm1YH24nuqAjodrjaLL,pubkeyhash,49027974573718728
A4EpubgdSdBi8VEZCzdW5HtzQWneJoU9q2,scripthash,46850811845641509
DAcNceLan25hje2jBGbopHyUjpSziykuAY,pubkeyhash,41237391769761662
DEAWXsx1Ge925D7gn2wC3scwDXLf2svd7T,pubkeyhash,40979464645754238
A8c3xNz2mqsDLFwv5KL5fpH12QEwDaoTXo,scripthash,40099995828006242
9rV1NWsqaVMAncpAbSrQkdTyxzSVokxvnn,scripthash,39636963873213694
DEpFaVzjmQVYh4RWiCDSwnc6XyvQaxuyr8,pubkeyhash,38000000673121222
D78RSZmmfSXUAgFivtg5Ld5NMChVeDyWx8,pubkeyhash,37083594992928998
DD18AYERHStZRCvY5gPugKaTXokyVcTFbz,pubkeyhash,36012098945462067
DGWXvRUZZZJADcft2NH7yCmxJXXsGgjVHh,pubkeyhash,31657773297987373
DRPBGXTVA92baheG478Ti41iDdaPvToHzB,pubkeyhash,30361239435526750
DGf7a1UXruciKiKWvW9cFVoERQtAxg6jga,pubkeyhash,30000000704121222
DS5AqfyypSTA4eE2WYnNhgmQgG7rEH8par,pubkeyhash,29825601298610660
DQHqNvgsikHvkE8YrCsL6d1pxZ7DR5s2HW,pubkeyhash,29241431793679452
D9hWmUtULU66hEHT4M96okBStq2UTg97tk,pubkeyhash,28399179645259009
DLHmTF5M7A5qwdJTm4tKLDkhxDLYYnMSD5,pubkeyhash,27198667477537938
DR3nbq283Dky1SQmQqZbSBjVa7MveG4LZc,pubkeyhash,25497073082707473
DEWSAmL7FvbkfApTKhr2BxfF7CvTzJZMhi,pubkeyhash,25387928520838789
DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,pubkeyhash,24438138057498904
D8znPD1n3F7KoV9pTBAzyUuEmKG65GG9ab,pubkeyhash,22502050604121222
D5ogDfbt9JznUC7xwBKXHPzosAmWnywuCJ,pubkeyhash,22497275278340649
DQFoGSJspF6M2rAHShe7tmMEtTnodFSKHW,pubkeyhash,22000321590846585
DAN6kLu7xtRFkUZhPCEiCUNpJjsAZPWCRq,pubkeyhash,21834474106714616
DN5Hp2kCkvCsdwr5SPmwHpiJgjKnC5wcT7,pubkeyhash,19743619100000000
D5yVYrobXFZLCPdCYVf9ndJ1aUvjhsyazg,pubkeyhash,18798594451796454
DCTpBbA5HUgcf39219AWtZuf76pNxM1m4e,pubkeyhash,18755136796906471
DLZxgWfMASwbqtRFtLy6rVEAjTzMcSguJe,pubkeyhash,18539012861165753
DFGBxpZncATmjHgKgt527yAPJxAWP6LFWC,pubkeyhash,18087420612811836
DFBx6m9YHYFHgrmYXmTh1YQTaZv7Z3Zd8x,pubkeyhash,18087420612811836
DSS3QiBvezK8rZSS7GzDf9qyWHEdr8t2b8,pubkeyhash,18078076658620268
D8ejNRKfFaVoSGz9ubLSYKNvRi55EDSQVH,pubkeyhash,18000000000000000
DD1h9ojoyAdAGLXaqgqZP3j86AtxZs6jCn,pubkeyhash,17664445947100541
DR2SpAVZPwJDVxJgTkJvGej3HC5aLBhQBM,pubkeyhash,16370810122318322
DEHiiX3YuFKzRFbXQLgJ6wtqgmAUN8EZaG,pubkeyhash,15414622678226899
DSVE8hQgj8XmkH5ixLJ23utaUHzRZY6MRF,pubkeyhash,15000000719121302
D79tQ1VkKn9v2BekHShAZSq2m8XtUA8VEP,pubkeyhash,14784866184711254
DMLEL9XKGQVRkuqjJPU5LhggsDhjVzXcjR,pubkeyhash,14640239802163322
D9GqmkGCpgtnXP7xMD78v9xfqeDkqBZBMT,pubkeyhash,14633980494852817
DEN9enVfqSNXRz5guvEzpvQeKEx82XbJyu,pubkeyhash,14309627244121222
DTVQd2jrTzhq2Qth2vpKubzUeHGpRSCBjv,pubkeyhash,14065862472435509
DPtCFXLTkqSzUTHCt3JEkbh8LHCxN22EUz,pubkeyhash,14060915556907183
A1JTiQWc13PymFB62tXuJeX9kTJLdb7kYN,scripthash,14000000000000000
D7J8gJgs79VsFYkL37c1vA3vdUNhvKVLdG,pubkeyhash,13827188604435969
DMXQgR1CM4W4God5DSqwaVCci4hPVjt3dZ,pubkeyhash,13714101729997011
DLz791TVxUZyA2pBv3dhN9LD9Smwk9wJDL,pubkeyhash,13311163598300000
DMoonzxadHZJmgP6cCRvFZvec8wJb67j38,pubkeyhash,13000002704121222
DHKM6NDUUv9kaHAGi1QU7MRBNKfQiAdP3F,pubkeyhash,12162191560478665
DPPgfELC94eZuWBfXAQtMJTabpVuF33sY5,pubkeyhash,12000000804121222
DDZXwcWjK3RnMzNGMZkgVeJYX4uY8t8K36,pubkeyhash,11862994817301444
DQ8KqJ4nQg4g2Qof2BsMj6HVau5N1iXLKX,pubkeyhash,11683845570285101
DMoonjyH1aHLZc1kksmikBUhjXromn1ZN4,pubkeyhash,11600103244121222
DU6Sg74RsxB6Tu6utAHf389EdQChUptWaK,pubkeyhash,11500000100000000
DTJgZkCy5dzMUdj211VtSsoJkXUJPzNdDG,pubkeyhash,11281600897883812
A6RVrq2W5x9UawVE48U6Umz7H2BNfEdub1,scripthash,11233408255233592
DN4VDmvdusJtL66evr1oXgmvHi37cCJDWh,pubkeyhash,11184272552232218
DA712xiAgXzdrLWAKGHM54cPJu172kufb2,pubkeyhash,11088209833374285
DCpDX7tpS1wWqtvwoA5v1DF8ziyoXuNZnn,pubkeyhash,10971026396513925
DE1ekWYKnnTRn9vctx4UDgPZczW5RdAb3S,pubkeyhash,10953156629277483
DBkC2iofamN8xVM3iKCotJRC8mxNKhRMCz,pubkeyhash,10743408319003388
DJZZkDAvBTJmpPYMbVGmBdFjipe7We2CXh,pubkeyhash,10743408319003388
DU6obGrwz2GjX1NiXRP3oJQC6aJvq7VvA1,pubkeyhash,10743408319003388
DGd3L4CwsVffwFfVatE2Ao1kzaELxrWjY4,pubkeyhash,10743408319003388
D8Te13YAWMV47VCrQ7XF71Ahsq5TbDYgsj,pubkeyhash,10743408319003388
DMaZRV7XEGHkHMrss9PYUDA1Pys7qvsWUp,pubkeyhash,10743408319003388
D9s1g4DfpUY6tGsqm9kUr2eZp3NkZPxFqB,pubkeyhash,10743408319003388
DTsBpxfR9otQTRJEXc7dW4HmuNVgutc6fW,pubkeyhash,10507386821499146
DJcrNhWng8X9B7bfpp8vZqUibcmDk1XPV3,pubkeyhash,10499924900000000
DC9jn1MvEVwx84qzzF3rYgg6gf1ojNHUqM,pubkeyhash,10499903700000000
D6zU4PesgW5xmB6utGrfxgq5DrHdEmw8c7,pubkeyhash,10499898000000000
DKLbspGEyN4XyTZGGMzSZhDufoTGceBbSw,pubkeyhash,10499897400000000
DUTPruoNbYidcJBkeomHcru72nHaEpmd2K,pubkeyhash,10499896800000000
DFHMxqTjbtKKfJ2uAhNMFrw1SkeWhS3meS,pubkeyhash,10471924439188131
D9wfpqQU4PCZRmDpAqvH6hmau7dEBBJFTq,pubkeyhash,10457509651895929
D67kvFnJnJxxHxnNyDhMghC1bfZ74922XA,pubkeyhash,10447033060371008
